episode,success,fail_reason,reward,collected,total_cabbages,steps,energy_used,energy_per_cabbage,total_turns,overlap_rate,sector_switches
202,1,success,627.6822306767107,51,51,103,46.30000000000002,0,47,0,0
203,1,success,383.12146663740293,42,42,166,72.39999999999988,0,120,0,0
204,1,success,577.6129863992337,50,50,133,56.599999999999994,0,71,0,0
205,0,no_return,143.59136110693288,40,40,195,67.79999999999993,0,107,0,0
206,1,success,633.0988325387242,50,50,105,46.00000000000002,0,48,0,0
207,1,success,591.6866675227884,48,48,116,46.00000000000002,0,49,0,0
208,1,success,335.9647141605621,48,48,211,76.19999999999979,0,118,0,0
209,1,success,611.8103850483897,49,49,103,47.100000000000016,0,54,0,0
210,0,not_collected,153.861965398491,42,51,238,73.90000000000002,0,126,0,0
211,1,success,530.1365840740507,49,49,167,64.49999999999999,0,90,0,0
212,1,success,538.1166452184323,42,42,97,42.20000000000002,0,50,0,0
213,1,success,534.6988613307478,41,41,93,39.100000000000044,0,42,0,0
214,1,success,506.46451763361733,41,41,107,44.10000000000001,0,58,0,0
215,1,success,381.65146618410984,47,47,176,54.09999999999998,0,88,0,0
216,0,no_return,74.81769526302838,54,54,251,88.09999999999962,0,131,0,0
217,1,success,612.6643115311863,50,50,111,49.40000000000001,0,58,0,0
218,1,success,414.5717061758046,50,50,173,72.99999999999993,0,104,0,0
219,0,no_return,136.74597871601588,48,48,227,68.99999999999996,0,97,0,0
220,1,success,460.9196343682714,49,49,194,73.89999999999988,0,109,0,0
221,1,success,551.0046037822967,41,41,84,38.300000000000026,0,45,0,0
222,1,success,461.5682789891961,40,40,118,48.0,0,71,0,0
223,1,success,610.2808781594042,48,48,98,47.20000000000003,0,57,0,0
224,0,not_collected,156.10519752502483,41,42,203,86.10000000000002,0,139,0,0
225,1,success,536.0695808231834,41,41,90,41.30000000000001,0,52,0,0
226,0,not_collected,322.8071637865163,52,53,247,96.89999999999976,0,159,0,0
227,1,success,598.2451083317401,54,54,148,58.80000000000001,0,71,0,0
228,1,success,539.7327164754274,42,42,94,40.80000000000004,0,46,0,0
229,1,success,597.3450814977291,46,46,89,43.400000000000006,0,51,0,0
230,0,no_return,91.68378453999799,40,40,195,64.70000000000009,0,87,0,0
231,1,success,663.0270862475041,52,52,96,48.19999999999999,0,53,0,0
232,1,success,543.9620554149151,44,44,101,43.20000000000001,0,50,0,0
233,1,success,442.6375796891753,44,44,177,67.39999999999999,0,102,0,0
234,1,success,636.0428336694843,53,53,122,52.89999999999999,0,66,0,0
235,1,success,416.07876395136134,41,41,145,52.500000000000014,0,72,0,0
236,0,not_collected,173.60819144845053,49,50,235,82.60000000000002,0,144,0,0
237,0,no_return,113.6392023265363,47,47,222,86.69999999999989,0,131,0,0
238,1,success,535.1201373592021,44,44,107,43.80000000000004,0,52,0,0
239,0,no_return,119.3106288723651,50,50,235,83.5999999999998,0,133,0,0
240,1,success,517.5761171683672,41,41,98,43.50000000000001,0,58,0,0
241,1,success,550.7110995337371,45,45,112,48.499999999999986,0,59,0,0
242,1,success,578.41921492219,48,48,102,47.400000000000006,0,59,0,0
243,1,success,615.872373245657,49,49,104,47.10000000000001,0,56,0,0
244,1,success,599.749556128681,50,50,115,50.400000000000006,0,62,0,0
245,1,success,622.6361430525786,53,53,120,53.7,0,65,0,0
246,1,success,579.2642177835112,49,49,130,54.30000000000002,0,72,0,0
247,1,success,525.6453296691182,40,40,90,39.200000000000024,0,43,0,0
248,1,success,676.4081922620537,53,53,93,45.70000000000002,0,44,0,0
249,1,success,615.3329652607445,48,48,90,42.60000000000003,0,44,0,0
250,1,success,671.8103870436553,54,54,99,48.599999999999994,0,55,0,0
251,1,success,486.3663396462805,52,52,172,69.39999999999992,0,99,0,0
252,1,success,413.51977629587066,50,50,203,77.1999999999999,0,115,0,0
253,0,not_collected,235.62097941041043,39,41,199,76.99999999999993,0,126,0,0
254,0,no_return,91.8373045943679,43,43,207,72.6999999999999,0,113,0,0
255,1,success,499.49942108988785,42,42,118,45.20000000000002,0,51,0,0
256,1,success,655.2847960576419,54,54,113,52.20000000000001,0,61,0,0
257,0,no_return,1.2370505467061328,46,46,219,81.59999999999987,0,122,0,0
258,1,success,535.4014707088472,47,47,130,52.70000000000001,0,71,0,0
259,1,success,533.807117171586,44,44,113,47.20000000000002,0,59,0,0
260,1,success,405.84784040451075,47,47,167,68.69999999999996,0,101,0,0
261,1,success,615.8335899427536,49,49,100,47.49999999999999,0,57,0,0
262,1,success,584.2725951924922,51,51,141,61.69999999999999,0,84,0,0
263,0,no_return,60.298593282699606,41,41,199,87.80000000000001,0,141,0,0
264,1,success,471.6993881687525,47,47,144,57.70000000000003,0,74,0,0
265,0,not_collected,290.85515062138523,46,47,223,80.89999999999985,0,119,0,0
266,1,success,683.5996216505771,54,54,102,48.80000000000001,0,52,0,0
267,0,not_collected,131.07936100289245,37,49,231,99.4999999999999,0,171,0,0
268,1,success,508.39275806397217,45,45,123,47.90000000000002,0,61,0,0
269,0,no_return,75.01476355940125,47,47,223,76.09999999999992,0,112,0,0
270,1,success,438.0883093670013,41,41,132,52.90000000000001,0,74,0,0
271,1,success,495.70360368043214,44,44,117,48.399999999999984,0,64,0,0
272,1,success,576.7800310641533,53,53,142,58.30000000000003,0,70,0,0
273,0,not_collected,164.8220073938374,51,53,247,65.0,0,104,0,0
274,1,success,374.30393211543566,40,40,148,46.00000000000003,0,63,0,0
275,1,success,621.3762200683358,50,50,104,47.8,0,54,0,0
276,1,success,622.206468933821,48,48,89,43.4,0,48,0,0
277,1,success,405.97165315896314,47,47,172,67.30000000000001,0,93,0,0
278,1,success,582.9943459004166,44,44,88,40.200000000000045,0,42,0,0
279,1,success,494.6482745274909,54,54,189,70.59999999999978,0,98,0,0
280,1,success,442.27567642480165,45,45,148,58.699999999999996,0,83,0,0
281,1,success,572.8045932829382,51,51,132,55.3,0,71,0,0
282,0,not_collected,12.429539396613931,34,44,211,69.70000000000002,0,116,0,0
283,1,success,235.56649282574674,50,50,233,57.8,0,82,0,0
284,1,success,551.1313009038572,44,44,106,43.40000000000004,0,51,0,0
285,1,success,351.0855133846409,40,40,163,63.40000000000002,0,96,0,0
286,1,success,669.0799637675287,52,52,91,45.40000000000003,0,45,0,0
287,1,success,554.5271240860227,43,43,98,44.50000000000002,0,58,0,0
288,1,success,575.2103390693667,43,43,82,38.10000000000003,0,37,0,0
289,1,success,456.60692193955214,44,44,143,58.20000000000004,0,79,0,0
290,1,success,469.63413404375376,43,43,149,64.69999999999995,0,99,0,0
291,1,success,473.8939576730135,45,45,139,52.90000000000002,0,68,0,0
292,1,success,564.6893621563916,46,46,111,46.00000000000002,0,52,0,0
293,0,not_collected,286.0950805068026,49,50,235,93.29999999999981,0,142,0,0
294,1,success,541.4093390062453,40,40,84,37.60000000000003,0,41,0,0
295,1,success,542.5668449312452,42,42,88,39.20000000000002,0,44,0,0
296,0,not_collected,262.7878093838698,41,42,203,76.59999999999991,0,128,0,0
297,1,success,509.09037235826304,40,40,101,42.80000000000004,0,57,0,0
298,1,success,502.59751965105556,40,40,98,41.000000000000014,0,53,0,0
299,0,not_collected,230.62918336764022,43,48,226,87.69999999999983,0,130,0,0
300,1,success,458.2722006365661,40,40,128,53.40000000000002,0,76,0,0
301,0,not_collected,-42.46784077957286,26,46,218,68.69999999999985,0,162,0,0
302,0,not_collected,31.78101506680224,44,45,215,51.500000000000036,0,84,0,0
303,1,success,520.556624568999,40,40,90,40.00000000000001,0,49,0,0
304,0,not_collected,129.81747956425008,40,46,218,80.39999999999998,0,155,0,0
305,0,not_collected,181.86800424233124,42,45,214,85.59999999999991,0,134,0,0
306,0,not_collected,51.48880211189409,36,51,239,52.40000000000002,0,83,0,0
307,1,success,623.6700928494337,50,50,105,48.20000000000001,0,58,0,0
308,0,no_return,143.46858432739992,46,46,219,80.9999999999999,0,122,0,0
309,1,success,619.9498955100778,52,52,111,47.000000000000014,0,51,0,0
310,1,success,588.3579769268636,51,51,137,59.3,0,79,0,0
311,0,no_return,175.70053938627328,53,53,247,87.39999999999976,0,120,0,0
312,1,success,534.1934707000855,42,42,96,42.20000000000003,0,50,0,0
313,1,success,616.1809549197558,48,48,98,45.400000000000006,0,55,0,0
314,1,success,540.7236499384048,44,44,113,46.600000000000016,0,59,0,0
315,1,success,661.3921678259976,53,53,108,53.89999999999998,0,70,0,0
316,1,success,510.8573466330771,42,42,117,47.400000000000006,0,65,0,0
317,1,success,432.2014094591143,41,41,128,50.10000000000004,0,63,0,0
318,1,success,514.1957836933439,49,49,146,63.099999999999966,0,93,0,0
319,1,success,403.55005292296437,46,46,173,52.2,0,83,0,0
320,1,success,632.263515144587,50,50,104,46.200000000000024,0,50,0,0
321,1,success,569.4941355660561,45,45,100,45.90000000000001,0,55,0,0
322,1,success,242.38704136684538,41,41,184,52.099999999999966,0,93,0,0
323,1,success,600.9894855052236,46,46,93,42.000000000000014,0,43,0,0
324,0,not_collected,154.6527640968564,38,50,234,94.59999999999992,0,151,0,0
325,0,no_return,96.23659702912022,52,52,242,94.69999999999983,0,150,0,0
326,1,success,665.0214328110221,53,53,104,48.90000000000003,0,51,0,0
327,1,success,405.086758594215,42,42,149,56.60000000000002,0,81,0,0
328,0,no_return,18.3839546941222,46,46,218,49.2,0,65,0,0
329,0,no_return,99.09277381598986,42,42,203,78.29999999999994,0,116,0,0
330,1,success,532.5813314408067,46,46,120,51.000000000000014,0,68,0,0
331,1,success,360.94959560036665,44,44,203,88.79999999999974,0,151,0,0
332,1,success,605.0990215152503,46,46,88,39.600000000000044,0,37,0,0
333,1,success,567.2463670223954,45,45,106,46.099999999999994,0,56,0,0
334,1,success,491.73006902933173,47,47,149,58.89999999999999,0,82,0,0
335,1,success,590.0026486635211,54,54,147,60.6,0,80,0,0
336,1,success,595.4375366464262,53,53,134,58.100000000000016,0,70,0,0
337,1,success,600.2994532153014,48,48,113,48.2,0,56,0,0
338,1,success,630.2480315655473,51,51,106,48.900000000000006,0,62,0,0
339,1,success,578.4748609766366,46,46,98,44.20000000000001,0,53,0,0
340,1,success,459.15039743930146,44,44,140,53.400000000000006,0,74,0,0
341,1,success,638.729771175981,52,52,113,49.99999999999999,0,60,0,0
342,1,success,684.5788521170618,54,54,100,49.4,0,52,0,0
343,1,success,472.7998638898137,42,42,126,50.00000000000002,0,66,0,0
344,0,not_collected,-99.75687641203368,33,52,242,48.60000000000002,0,86,0,0
345,0,not_collected,-31.626294999942573,36,49,230,46.90000000000005,0,80,0,0
346,1,success,546.491819021106,41,41,87,38.70000000000003,0,41,0,0
347,0,not_collected,243.74643499925764,39,41,198,66.50000000000007,0,92,0,0
348,1,success,478.63178358376047,44,44,151,64.99999999999996,0,94,0,0
349,0,not_collected,224.66835894510143,42,44,210,82.59999999999995,0,123,0,0
350,1,success,489.15550284981754,43,43,136,51.1,0,72,0,0
351,1,success,636.3170985117558,49,49,89,44.10000000000002,0,48,0,0
352,1,success,605.0641551285987,52,52,132,54.8,0,64,0,0
353,1,success,529.0380419045689,41,41,103,42.300000000000026,0,51,0,0
354,1,success,551.2861198648815,50,50,141,59.80000000000001,0,78,0,0
355,0,not_collected,304.8462652534255,51,52,242,97.79999999999978,0,153,0,0
356,1,success,574.8801250398163,44,44,91,42.40000000000002,0,50,0,0
357,1,success,618.1149236768485,47,47,85,41.10000000000002,0,41,0,0
358,1,success,661.0167370140555,50,50,80,41.00000000000002,0,38,0,0
359,0,not_collected,245.53645571768337,43,44,210,88.99999999999987,0,146,0,0
360,0,no_return,130.13725851029224,52,52,243,87.29999999999978,0,131,0,0
361,1,success,618.65462461561,48,48,92,43.40000000000001,0,50,0,0
362,1,success,591.2753501504664,46,46,93,43.20000000000001,0,51,0,0
363,1,success,624.6955087512735,49,49,100,46.099999999999994,0,53,0,0
364,1,success,532.1770931676033,42,42,101,44.20000000000001,0,57,0,0
365,1,success,588.6223366349939,50,50,126,55.4,0,74,0,0
366,0,not_collected,-445.232501135767,28,48,226,35.19999999999998,0,78,0,0
367,1,success,499.8465169638399,44,44,143,55.40000000000001,0,77,0,0
368,1,success,549.741645330191,43,43,98,43.10000000000001,0,53,0,0
369,1,success,351.2660881072288,40,40,164,60.40000000000003,0,89,0,0
370,0,not_collected,-68.09430064409946,36,47,222,49.50000000000005,0,83,0,0
371,0,not_collected,331.02163582593306,51,52,242,84.59999999999991,0,120,0,0
372,1,success,528.9055728688841,45,45,120,47.30000000000004,0,55,0,0
373,1,success,597.8940475836398,50,50,121,50.199999999999996,0,58,0,0
374,1,success,503.8542445942762,51,51,169,64.90000000000002,0,90,0,0
375,1,success,557.8963084205989,43,43,98,40.90000000000004,0,44,0,0
376,0,no_return,174.16436162963583,49,49,232,89.79999999999976,0,139,0,0
377,0,not_collected,-102.30756251886494,36,46,218,43.19999999999998,0,78,0,0
378,0,no_return,174.93810240104847,50,50,234,88.39999999999985,0,131,0,0
379,1,success,551.6817475751046,44,44,110,46.20000000000003,0,59,0,0
380,1,success,644.1361351981762,50,50,92,44.80000000000001,0,49,0,0
